#{"t_start": 1757051978.0826457, "env_id": "None"}
r,l,t
-48.0,6,1.846538
-48.0,6,1.850963
-48.0,6,1.855296
-48.0,6,1.859523
-48.0,6,1.863945
-48.0,6,1.868422
-48.0,6,1.872995
-48.0,6,1.877588
-48.0,6,1.88206
-48.0,6,1.886505
-64.0,6,1.890979
-48.0,6,1.895401
-48.0,6,1.899848
-48.0,6,1.90437
-48.0,6,1.909874
-48.0,6,1.914437
-48.0,6,1.919011
-48.0,6,1.92355
-48.0,6,1.928091
-48.0,6,1.932644
-48.0,6,1.937206
-64.0,6,1.941733
-48.0,6,1.94626
-48.0,6,1.950876
-48.0,6,1.955272
-64.0,6,1.959689
-48.0,6,1.963964
-48.0,6,1.968133
-48.0,6,1.972423
-48.0,6,1.976787
-48.0,6,1.981086
-48.0,6,1.98538
-48.0,6,1.989682
-48.0,6,1.993965
-48.0,6,1.99818
-48.0,6,2.002407
-48.0,6,2.006608
-64.0,6,2.010967
-48.0,6,2.01526
-48.0,6,2.019494
-48.0,6,2.023665
-48.0,6,2.027858
-64.0,6,2.032056
-48.0,6,2.036227
-48.0,6,2.040529
-48.0,6,2.044824
-48.0,6,2.049218
-48.0,6,2.053623
-48.0,6,2.057987
-48.0,6,2.062387
-48.0,6,2.066757
-48.0,6,2.0711
-48.0,6,2.075511
-48.0,6,2.079893
-48.0,6,2.084307
-48.0,6,2.088695
-48.0,6,2.093063
-48.0,6,2.097478
-48.0,6,2.101886
-48.0,6,2.10636
-48.0,6,2.110744
-48.0,6,2.115141
-48.0,6,2.119539
-48.0,6,2.12392
-48.0,6,2.128305
-64.0,6,2.132622
-48.0,6,2.136828
-48.0,6,2.141104
-48.0,6,2.14534
-48.0,6,2.149615
-48.0,6,2.153877
-48.0,6,2.158363
-48.0,6,2.162789
-64.0,6,2.167224
-48.0,6,2.171623
-48.0,6,2.176036
-48.0,6,2.180308
-48.0,6,2.184877
