#{"t_start": 1757246473.9678743, "env_id": "None"}
r,l,t
-96.0,18,19.130767
-93.0,18,19.193235
-96.0,18,19.255629
-93.0,18,19.317931
-96.0,18,19.379715
-93.0,18,19.441788
-100.0,18,19.504003
-96.0,18,19.566339
-88.0,18,19.629073
-96.0,18,19.69076
-93.0,18,19.752829
-88.0,18,19.815681
-93.0,18,19.877096
-93.0,18,19.938633
-93.0,18,20.000699
-93.0,18,20.062739
-93.0,18,20.124977
-93.0,18,20.186762
-93.0,18,20.248339
-100.0,18,20.310675
-93.0,18,20.373405
-88.0,18,20.435112
-93.0,18,20.497039
-93.0,18,20.559175
-96.0,18,20.621511
-96.0,18,20.683458
-93.0,18,20.745102
-93.0,18,20.807319
-96.0,18,20.86953
-93.0,18,20.931709
-96.0,18,20.993238
-93.0,18,21.055177
-93.0,18,21.116832
-93.0,18,21.177045
-93.0,18,21.239185
-93.0,18,21.300988
-100.0,18,21.362318
-93.0,18,21.424111
-93.0,18,21.485673
-93.0,18,21.547939
-93.0,18,21.60974
-93.0,18,21.671509
-93.0,18,21.733508
-96.0,18,21.795331
-93.0,18,21.855758
-93.0,18,21.918046
-96.0,18,21.98046
-96.0,18,22.042297
-96.0,18,22.103476
-93.0,18,22.165712
-93.0,18,22.2281
-93.0,18,22.290261
-93.0,18,22.351379
-93.0,18,22.413074
-93.0,18,22.475242
-93.0,18,22.536911
-88.0,18,22.597452
-93.0,18,22.659596
-100.0,18,22.720702
-96.0,18,22.782643
-96.0,18,22.84473
-93.0,18,22.905482
-96.0,18,22.967382
-93.0,18,23.029529
-93.0,18,23.090758
-93.0,18,23.152626
-93.0,18,23.214098
-96.0,18,23.276137
-100.0,18,23.338281
-93.0,18,23.398813
-100.0,18,23.460485
-93.0,18,23.522021
-93.0,18,23.582161
-93.0,18,23.644414
-93.0,18,23.706661
-96.0,18,23.767535
-93.0,18,23.829053
-93.0,18,23.891672
-93.0,18,25.988942
-100.0,18,26.050936
-96.0,18,26.113064
-93.0,18,26.17538
-93.0,18,26.237742
-93.0,18,26.298984
-93.0,18,26.360579
-93.0,18,26.423081
-93.0,18,26.484096
-93.0,18,26.545213
-96.0,18,26.607525
-96.0,18,26.670273
-88.0,18,26.733106
-88.0,18,26.794881
-93.0,18,26.856266
-93.0,18,26.918475
-100.0,18,26.978785
-93.0,18,27.04069
-100.0,18,27.102215
-93.0,18,27.16324
-93.0,18,27.224998
-93.0,18,27.285782
-93.0,18,27.348648
-93.0,18,27.410361
-93.0,18,27.471368
-93.0,18,27.533153
-100.0,18,27.596087
-100.0,18,27.656081
-100.0,18,27.718168
-96.0,18,27.779804
-93.0,18,27.841497
-93.0,18,27.903101
-93.0,18,27.964427
-93.0,18,28.026136
-93.0,18,28.086432
-93.0,18,28.148799
-93.0,18,28.211221
-93.0,18,28.272347
-93.0,18,28.333909
-100.0,18,28.395389
-100.0,18,28.457549
-96.0,18,28.517878
-93.0,18,28.579412
-93.0,18,28.641342
-93.0,18,28.70331
-96.0,18,28.765891
-93.0,18,28.826904
-93.0,18,28.88856
-93.0,18,28.949661
-96.0,18,29.011864
-93.0,18,29.074192
-93.0,18,29.135527
-96.0,18,29.197029
-96.0,18,29.259044
-93.0,18,29.322179
-93.0,18,29.38406
-93.0,18,29.445333
-93.0,18,29.50769
-93.0,18,29.568949
-93.0,18,29.630509
-93.0,18,29.692627
-93.0,18,29.753248
-93.0,18,29.815456
-100.0,18,29.878702
-93.0,18,29.939368
-100.0,18,30.001458
-93.0,18,30.062849
-93.0,18,30.124264
-96.0,18,30.186361
-93.0,18,30.248747
-96.0,18,30.308724
-93.0,18,30.370303
-93.0,18,30.432329
-100.0,18,30.492983
-93.0,18,30.554368
-100.0,18,30.61578
-93.0,18,30.677067
-96.0,18,30.737949
-93.0,18,30.799323
-93.0,18,30.861055
-93.0,18,30.920816
-93.0,18,30.982415
-93.0,18,31.045025
-96.0,18,31.107222
-96.0,18,31.167596
-96.0,18,31.229844
-93.0,18,31.292081
-93.0,18,31.35163
-93.0,18,31.41384
-93.0,18,31.475861
-93.0,18,31.538
-88.0,18,31.598035
-93.0,18,31.659846
-93.0,18,31.721562
-100.0,18,31.783211
-96.0,18,31.845695
-93.0,18,31.906418
-93.0,18,31.968785
-93.0,18,32.030516
-93.0,18,32.091967
-93.0,18,32.152871
-93.0,18,32.215601
-93.0,18,32.275551
-93.0,18,32.338369
-93.0,18,32.400717
-93.0,18,32.463063
-93.0,18,32.524022
-96.0,18,32.585585
-93.0,18,32.648431
-96.0,18,32.710861
-93.0,18,32.772417
-93.0,18,32.83576
-96.0,18,32.898216
-93.0,18,32.960512
-96.0,18,35.102352
-96.0,18,35.165231
-93.0,18,35.226893
-93.0,18,35.288963
-88.0,18,35.35114
-93.0,18,35.413671
-93.0,18,35.474721
-93.0,18,35.535833
-93.0,18,35.597885
-96.0,18,35.660561
-96.0,18,35.72192
-93.0,18,35.784222
-93.0,18,35.845841
-88.0,18,35.906923
-93.0,18,35.968208
-96.0,18,36.048601
-100.0,18,36.110456
-93.0,18,36.172561
-93.0,18,36.23435
-93.0,18,36.296098
-100.0,18,36.357267
-96.0,18,36.419703
-93.0,18,36.481129
-93.0,18,36.542698
-100.0,18,36.604614
-93.0,18,36.666826
-93.0,18,36.728215
-100.0,18,36.790477
-93.0,18,36.853396
-96.0,18,36.914969
-93.0,18,36.975716
-93.0,18,37.037009
-96.0,18,37.099054
-93.0,18,37.161247
-93.0,18,37.221903
-93.0,18,37.28386
-96.0,18,37.345811
-96.0,18,37.406712
-93.0,18,37.468704
-93.0,18,37.530723
-93.0,18,37.592069
-100.0,18,37.653689
-93.0,18,37.715712
-93.0,18,37.778184
-100.0,18,37.83917
-93.0,18,37.900564
-93.0,18,37.962493
-88.0,18,38.024737
-93.0,18,38.086241
-93.0,18,38.149193
-93.0,18,38.220612
-93.0,18,38.282359
-100.0,18,38.345118
-93.0,18,38.40741
-93.0,18,38.469995
-93.0,18,38.529932
-100.0,18,38.590212
-100.0,18,38.652133
-93.0,18,38.712942
-93.0,18,38.774588
-93.0,18,38.836075
-93.0,18,38.89653
-93.0,18,38.958857
-96.0,18,39.021253
-96.0,18,39.083377
-93.0,18,39.145208
-93.0,18,39.206759
-88.0,18,39.268273
-93.0,18,39.331704
-93.0,18,39.392486
-88.0,18,39.453944
-93.0,18,39.516545
-93.0,18,39.578913
-93.0,18,39.641318
-96.0,18,39.702739
-96.0,18,39.763316
-88.0,18,39.825187
-93.0,18,39.886182
-93.0,18,39.948432
-93.0,18,40.010788
-93.0,18,40.073102
-93.0,18,40.13568
-93.0,18,40.196169
-93.0,18,40.258417
-93.0,18,40.321247
-93.0,18,40.382565
-93.0,18,40.44389
-93.0,18,40.50553
-93.0,18,40.56655
-96.0,18,40.628275
-93.0,18,40.689887
-88.0,18,40.751707
-93.0,18,40.813431
-93.0,18,40.874532
-96.0,18,40.936078
-100.0,18,40.99767
-93.0,18,41.059448
-93.0,18,41.121705
-93.0,18,41.183303
-100.0,18,41.245358
-93.0,18,41.307169
-93.0,18,41.369594
-93.0,18,41.431153
-96.0,18,41.492903
-93.0,18,41.554212
-93.0,18,41.616153
-93.0,18,41.678676
-100.0,18,41.739256
-100.0,18,41.800916
-93.0,18,41.861728
-96.0,18,41.923819
-93.0,18,41.986114
-93.0,18,42.048361
-96.0,18,44.156434
-93.0,18,44.217055
-93.0,18,44.279322
-93.0,18,44.337554
-93.0,18,44.396969
-93.0,18,44.458864
-88.0,18,44.520913
-93.0,18,44.581551
-93.0,18,44.643714
-93.0,18,44.706347
-93.0,18,44.769029
-96.0,18,44.831002
-96.0,18,44.892585
-93.0,18,44.954869
-93.0,18,45.015491
-93.0,18,45.077449
-88.0,18,45.139873
-93.0,18,45.201914
-93.0,18,45.264428
-93.0,18,45.32478
-93.0,18,45.386205
-93.0,18,45.448455
-93.0,18,45.509083
-93.0,18,45.570841
-93.0,18,45.633454
-96.0,18,45.694837
-96.0,18,45.756639
-96.0,18,45.818675
-93.0,18,45.880745
-93.0,18,45.940632
-93.0,18,46.002952
-93.0,18,46.066273
-88.0,18,46.128423
-88.0,18,46.189274
-88.0,18,46.251072
-100.0,18,46.313728
-93.0,18,46.375981
-93.0,18,46.438092
-93.0,18,46.500218
-93.0,18,46.562394
-93.0,18,46.623268
-93.0,18,46.685184
-93.0,18,46.746969
-93.0,18,46.809492
-88.0,18,46.871389
-93.0,18,46.932178
-93.0,18,46.994313
-93.0,18,47.056835
-93.0,18,47.118529
-93.0,18,47.18071
-93.0,18,47.24283
-93.0,18,47.305155
-93.0,18,47.366243
-93.0,18,47.427957
-93.0,18,47.490129
-88.0,18,47.552537
-93.0,18,47.614965
-93.0,18,47.676625
-96.0,18,47.73791
-93.0,18,47.799866
-93.0,18,47.861311
-93.0,18,47.923415
-93.0,18,47.985409
-93.0,18,48.047422
-96.0,18,48.109957
-93.0,18,48.17096
-93.0,18,48.232702
-96.0,18,48.295045
-93.0,18,48.356969
-93.0,18,48.418288
-93.0,18,48.480171
-96.0,18,48.542863
-93.0,18,48.604467
-93.0,18,48.665775
-93.0,18,48.728202
-93.0,18,48.79039
-93.0,18,48.859058
-96.0,18,48.921726
-88.0,18,48.983747
-93.0,18,49.045683
-93.0,18,49.107752
-93.0,18,49.168593
-93.0,18,49.230287
-93.0,18,49.290874
-96.0,18,49.352413
-93.0,18,49.413957
-96.0,18,49.476045
-93.0,18,49.536688
-93.0,18,49.598469
-93.0,18,49.660577
-93.0,18,49.723
-93.0,18,49.784464
-93.0,18,49.846565
-93.0,18,49.908483
-100.0,18,49.969706
-100.0,18,50.031704
-96.0,18,50.093646
-88.0,18,50.155584
-93.0,18,50.217247
-93.0,18,50.279199
-93.0,18,50.341627
-100.0,18,50.403055
-96.0,18,50.465522
-88.0,18,50.526988
-88.0,18,50.588226
-93.0,18,50.65047
-93.0,18,50.711812
-93.0,18,50.773827
-93.0,18,50.835187
-93.0,18,50.897403
-93.0,18,50.958076
-100.0,18,51.020151
-96.0,18,51.082348
-93.0,18,51.144137
-93.0,18,53.268037
-93.0,18,53.330277
-100.0,18,53.391307
-93.0,18,53.453832
-93.0,18,53.516147
-93.0,18,53.578016
-93.0,18,53.639302
-93.0,18,53.700795
-93.0,18,53.762998
-93.0,18,53.823644
-93.0,18,53.885665
-93.0,18,53.947331
-93.0,18,54.007709
-93.0,18,54.07013
-93.0,18,54.132179
-100.0,18,54.194862
-96.0,18,54.255921
-100.0,18,54.317693
-93.0,18,54.379353
-93.0,18,54.439512
-93.0,18,54.501681
-96.0,18,54.563873
-93.0,18,54.625787
-93.0,18,54.686756
-93.0,18,54.74897
-93.0,18,54.812386
-93.0,18,54.872158
-93.0,18,54.933508
-96.0,18,54.995276
-93.0,18,55.057552
-93.0,18,55.119807
-93.0,18,55.182597
-93.0,18,55.242759
-93.0,18,55.305105
-93.0,18,55.366678
-93.0,18,55.426305
-93.0,18,55.48822
-96.0,18,55.55047
-93.0,18,55.613123
-93.0,18,55.674833
-93.0,18,55.736437
-96.0,18,55.79798
-93.0,18,55.861064
-93.0,18,55.923158
-88.0,18,55.984349
-93.0,18,56.045761
-93.0,18,56.108232
-93.0,18,56.16849
-88.0,18,56.228885
-93.0,18,56.291353
-93.0,18,56.352412
-93.0,18,56.414224
-93.0,18,56.47634
-96.0,18,56.538002
-93.0,18,56.599817
-93.0,18,56.661463
-93.0,18,56.722566
-88.0,18,56.783043
-93.0,18,56.845154
-93.0,18,56.906645
-93.0,18,56.968151
-93.0,18,57.030272
-93.0,18,57.092279
-93.0,18,57.153417
-96.0,18,57.215024
-88.0,18,57.27616
-93.0,18,57.339879
-93.0,18,57.400782
-93.0,18,57.468223
-93.0,18,57.531132
-93.0,18,57.59241
-100.0,18,57.653449
-96.0,18,57.715868
-100.0,18,57.777931
-93.0,18,57.839355
-93.0,18,57.900404
-93.0,18,57.962358
-93.0,18,58.023374
-96.0,18,58.085734
-93.0,18,58.148023
-96.0,18,58.209765
-93.0,18,58.271093
-93.0,18,58.333643
-96.0,18,58.395522
-93.0,18,58.455585
-93.0,18,58.51794
-93.0,18,58.57462
-93.0,18,58.636179
-93.0,18,58.698348
-88.0,18,58.759762
-93.0,18,58.821781
-93.0,18,58.883164
-93.0,18,58.945769
-93.0,18,59.006668
-93.0,18,59.068466
-88.0,18,59.130752
-96.0,18,59.192866
